,date,year,id,link,retweet,text,author
1888,12/3,2015,6.72E+17,/realDonaldTrump/status/672492218003902465,FALSE,Thank you! Vote in 2016! #MakeAmericaGreatAgainpic.twitter.com/XFD3h2N50J,DonaldTrump
1889,12/3,2015,6.72E+17,/realDonaldTrump/status/672489573906255872,FALSE,Thank you! #Trump2016pic.twitter.com/tcyun7Mffy,DonaldTrump
1890,12/3,2015,6.72E+17,/realDonaldTrump/status/672457332228530176,FALSE,"Loved being in Manassas, VA last night. Such incredible spirit! Now in DC for a speech, will then visit Old Post Office under construction.",DonaldTrump
1891,12/3,2015,6.72E+17,/realDonaldTrump/status/672403077597560832,TRUE,"""@derektheeight: Will be interesting to see how many times Jersey rooftop will be brought up now that video has miraculously been found...""",DonaldTrump
1892,12/3,2015,6.72E+17,/realDonaldTrump/status/672401996826206208,FALSE,"As a presidential candidate, I have instructed my long-time doctor to issue, within two weeks, a full medical report-it will show perfection",DonaldTrump
1893,12/3,2015,6.72E+17,/realDonaldTrump/status/672389616998227968,FALSE,"I consider my health, stamina and strength one of my greatest assets.The world has watched me for many years and can so testify-great genes!",DonaldTrump
1894,12/3,2015,6.72E+17,/realDonaldTrump/status/672385109820112896,TRUE,"""@Co: CBS reports ""swarms"" of celebrators were on roofs in Jersey on 9/11/2001 VIDEO: http://www.breitbart.com/big-journalism/2015/12/02/trump-100-vindicated-cbs-reports-swarms-on-roofs-celebrating-911/?utm_source=facebook&utm_medium=socialåÊ‰Û_ pic.twitter.com/C6nKmbQK8a""",DonaldTrump
1895,12/3,2015,6.72E+17,/realDonaldTrump/status/672384440270782464,TRUE,"""@iliveamongyou: @chucktodd APOLOGIZE HYPOCRITE Jersey City 9/11 Celebration Report  #MakeAmericaGreatAgain https://www.youtube.com/watch?v=3auKMHkZJnQåÊ‰Û_ ‰Û_""",DonaldTrump
1896,12/3,2015,6.72E+17,/realDonaldTrump/status/672382998499753985,FALSE,Congratulations on the GREAT job done by POLICE and law enforcement on the California shootings. Give credit where credit is due.,DonaldTrump
1897,12/2,2015,6.72E+17,/realDonaldTrump/status/672203184069300224,FALSE,"Heading to Manassas, Virginia, for a rally. Will have a moment of silence for the victims of the California shootings. So sad!",DonaldTrump
1898,12/2,2015,6.72E+17,/realDonaldTrump/status/672201832761040896,FALSE,#TeamTrump. Police and law enforcement seem to have killed one of the California shooters and are in a shootout with the others. Go police,DonaldTrump
1899,12/2,2015,6.72E+17,/realDonaldTrump/status/672200661614927872,TRUE,"""@Blacks4Trump16: Legal & illegal immigration drive down American wages. Only DonaldTrump can fix this. @AnnCoulter #Trump2016 #TeamTrump""",DonaldTrump
1900,12/2,2015,6.72E+17,/realDonaldTrump/status/672200505414782977,TRUE,"""@BOSSYtxmar55: #Trump WILL WIN! He's counting on ALL supporters TO VOTE Then ""WE"" CELEBRATE WITH TAILGATE STYLE PARTIES! #TeamTrump",DonaldTrump
1901,12/2,2015,6.72E+17,/realDonaldTrump/status/672200232856395778,TRUE,"""@TRUMPHIANT2016: This country is being frayed by the inept politicians in DC. We need to vote smarter and be more informed.  #TeamTrump""",DonaldTrump
1902,12/2,2015,6.72E+17,/realDonaldTrump/status/672199062519705600,TRUE,"""@DanScavino: Bruce LeVell, former GOP Chairman of Gwinnett County (GA) endorsed @realDonaldTrump today. #TeamTrumppic.twitter.com/OY4Uo3tcJu",DonaldTrump
